"","Valor Tarihi","TCMB Doviz Karsiligi TL Swap Piyasasi","TCMB Doviz Karsiligi TL Swap Piyasasi - Stok","BIST Swap Piyasasi","BIST Swap Piyasasi - Stok","TCMB TL Karsiligi Altin Swap Piyasasi ","TCMB TL Karsiligi Altin Swap Piyasasi - Stok","TCMB Doviz Karsiligi TL Swap Geleneksel Ihaleleri","TCMB Doviz Karsiligi TL Swap Geleneksel Ihaleleri - Stok","TCMB Doviz Karsiligi TL Swap Miktar Ihaleleri","TCMB Doviz Karsiligi TL Swap Miktar Ihaleleri - Stok","TCMB Altin Karsiligi TL Swap Geleneksel Ihaleleri","TCMB Altin Karsiligi TL Swap Geleneksel Ihaleleri - Stok","TCMB Doviz Karsiligi Altin Swap Piyasasi (Net Alim)","TCMB Doviz Karsiligi Altin Swap Piyasasi - Stok (Net Alim)","TOPLAM - STOK"
"1",2021-01-04,45,1246,500,7512,202,1698,1000,27000,0,2722,0,3861,846,1596,44039
"2",2021-01-05,53,1236,750,7255,454,1708,1000,27000,0,2722,0,3861,387,1605,43782
"3",2021-01-06,0,1236,450,7155,27,1709,1000,27000,0,2722,0,3861,89,1500,43683
"4",2021-01-07,350,1386,750,6855,163,1677,1000,27000,0,2722,0,3861,115,1437,43500
"5",2021-01-08,960,1408,550,6705,1075,1905,1000,27000,0,2722,0,3861,62,1439,43601
"6",2021-01-11,445,1808,625,6255,201,1920,0,27000,0,2722,0,3861,757,1410,43566
"7",2021-01-12,383,2138,900,5685,489,1955,0,27000,0,2722,0,3861,341,1364,43361
"8",2021-01-13,200,2338,900,5175,25,1954,0,27000,0,2722,0,3861,85,1360,43049
"9",2021-01-14,600,2588,600,5275,204,1995,1500,27000,0,2722,0,3861,67,1312,43441
"10",2021-01-15,850,2478,1100,5425,1041,1961,0,27000,0,2722,0,3861,59,1309,43447
"11",2021-01-18,0,2478,0,5425,207,1967,0,27000,0,2722,0,3861,0,1309,43453
"12",2021-01-19,212,1862,675,5425,403,1880,1000,27000,0,2722,0,3861,471,1439,42750
"13",2021-01-20,300,1962,850,5500,32,1887,1000,27000,0,2722,0,3861,39,1393,42932
"14",2021-01-21,475,1837,775,5600,191,1874,0,27000,0,2722,0,3861,8,1334,42894
"15",2021-01-22,750,1737,710,5410,800,1633,0,27000,0,2722,0,3861,163,1438,42363
"16",2021-01-25,300,2037,400,5210,655,2081,0,27000,0,2722,1199,3700,572,1253,42750
"17",2021-01-26,22,1847,475,4585,507,2185,1000,27000,0,2722,0,3700,261,1042,42039
"18",2021-01-27,377,1924,450,4235,33,2186,1000,27000,0,2722,0,3700,30,1043,41767
"19",2021-01-28,535,1984,575,4135,190,2185,1000,27000,0,2722,0,3700,8,1043,41726
"20",2021-01-29,620,1854,600,4135,794,2178,0,27000,0,2722,0,3700,173,1053,41590
"21",2021-02-01,425,1979,600,4135,776,2299,1000,27000,0,2722,0,3700,572,1053,41836
"22",2021-02-02,242,2199,500,4035,504,2297,1000,27000,0,2722,0,3700,306,1098,41953
"23",2021-02-03,250,2072,500,3935,33,2297,0,27000,0,2722,0,3700,39,1098,41726
"24",2021-02-04,270,1807,635,4070,162,2269,0,27000,0,2722,0,3700,8,1098,41568
"25",2021-02-05,535,1722,600,4070,486,1961,0,27000,0,2722,0,3700,116,1041,41176
"26",2021-02-08,160,1457,920,4390,757,1943,1000,27000,0,2722,0,3700,558,1027,41212
"27",2021-02-09,47,1262,400,4120,492,1930,1000,27000,0,2722,0,3700,299,1020,40735
"28",2021-02-10,150,1162,625,4100,32,1930,1000,27000,0,2722,0,3700,95,1076,40614
"29",2021-02-11,250,1142,500,4080,162,1931,0,27000,0,2722,0,3700,8,1076,40575
"30",2021-02-12,100,707,650,4120,467,1911,0,27000,0,2722,0,3700,58,1018,40160
"31",2021-02-15,0,707,0,4120,519,1672,0,27000,0,2722,1199,3658,0,1018,39880
"32",2021-02-16,172,672,450,3795,651,1831,1000,27000,0,2722,0,3658,103,823,39678
"33",2021-02-17,100,622,925,4090,15,1814,1000,27000,0,2722,0,3658,162,889,39906
"34",2021-02-18,0,372,850,4440,143,1795,1500,27000,0,2722,0,3658,8,889,39987
"35",2021-02-19,0,272,900,4685,234,1562,0,27000,0,2722,0,3658,56,887,39899
"36",2021-02-22,100,372,350,4335,713,1756,0,27000,0,2722,0,3658,158,487,39843
"37",2021-02-23,42,242,975,4760,426,1531,1000,27000,0,2722,0,3658,0,384,39913
"38",2021-02-24,75,217,650,4800,15,1531,0,27000,0,2722,0,3658,131,354,39928
"39",2021-02-25,355,572,625,4900,145,1532,1000,27000,0,2722,0,3658,8,354,40384
"40",2021-02-26,200,772,325,4720,218,1517,1000,27000,0,2722,0,3658,57,354,40389
"41",2021-03-01,100,772,250,4470,786,1590,1000,27000,0,2722,0,3658,26,222,40212
"42",2021-03-02,112,842,300,4325,276,1440,1500,27000,0,2722,0,3658,14,236,39987
"43",2021-03-03,175,942,525,4150,0,1425,0,27000,0,2722,0,3658,140,245,39897
"44",2021-03-04,150,737,550,4100,138,1418,0,27000,0,2722,0,3658,8,245,39636
"45",2021-03-05,650,1187,750,4200,338,1538,0,27000,0,2722,0,3658,248,436,40305
"46",2021-03-08,236,1323,805,4455,755,1507,1000,27000,0,2722,0,3658,25,435,40666
"47",2021-03-09,12,1223,590,4570,268,1499,0,27000,0,2722,0,3658,14,435,40672
"48",2021-03-10,100,1148,500,4420,0,1499,0,27000,0,2722,0,3658,138,432,40447
"49",2021-03-11,375,1373,230,4100,151,1512,1000,27000,0,2722,0,3658,7,432,40365
"50",2021-03-12,325,1048,500,4225,343,1517,1000,27000,0,2722,0,3658,251,435,40170
"51",2021-03-15,126,938,1000,4525,758,1520,1000,27000,0,2722,0,3658,15,425,40363
"52",2021-03-16,39,965,1350,5175,284,1536,0,27000,0,2722,1119,3517,14,426,40916
"53",2021-03-17,328,1193,1600,6075,180,1716,1500,27000,0,2722,0,3517,140,428,42224
"54",2021-03-18,1663,2481,2951,8501,171,1737,1500,27000,0,2722,0,3517,285,706,45958
"55",2021-03-19,660,2816,1313,9165,338,1732,0,27000,0,556,0,3517,244,698,44786
"56",2021-03-22,1,2691,0,8760,657,1630,1500,28500,0,0,0,3517,218,901,45099
"57",2021-03-23,18,2670,0,8260,147,1493,1000,28500,0,0,0,3517,114,1002,44440
"58",2021-03-24,5,2347,619,8279,172,1485,0,28500,0,0,0,3517,141,1002,44129
"59",2021-03-25,615,1299,589,8248,153,1467,0,28500,0,0,0,3517,531,1248,43031
"60",2021-03-26,365,1004,500,8138,491,1619,0,28500,0,0,0,3517,40,1045,42779
"61",2021-03-29,166,1169,493,8216,653,1616,1000,28500,0,0,0,3517,165,993,43018
